,In your current position how satisfied are you in terms of the following measures of success:,,,,,,,,,,,,
Respondent ID,Recognition from Colleagues/Peers,Recognition from Leadership,Promotions,Compensation,Access to Manager(s),Project/Committee/Team Assignments,Opportunities for Public Speaking/Writing,Leadership Opportunities,I am being paid fairly for the work that I do,I have fair opportunities to be promoted,I believe that people of all sexual orientations  have the same opportunities to be promoted in the industry,Gender Identity,Sexual Identity
100022,Very Satisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,,,,,
100266,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Very Dissatisfied,Somewhat Dissatisfied,Very Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Very Dissatisfied,Agree,Disagree,Disagree,Female,Prefer Not to Answer
100424,Somewhat Satisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Very Satisfied,Somewhat Dissatisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Disagree,Disagree,Agree,Female,Heterosexual
100747,Very Satisfied,Somewhat Dissatisfied,Very Dissatisfied,Very Dissatisfied,Somewhat Satisfied,N/A,Somewhat Dissatisfied,Somewhat Dissatisfied,Strongly Disagree,Strongly Disagree,Strongly Agree,Female,Heterosexual
101263,,,,,,,,,,,,,
102323,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Female,Heterosexual
102442,Somewhat Dissatisfied,Somewhat Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,Very Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree,Disagree,Disagree,Female,Heterosexual
102512,,,,,,,,,,,,,
102602,Somewhat Satisfied,Very Satisfied,Neither Dissatisfied nor Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,Strongly Agree,Agree,Disagree,Female,Heterosexual
102647,Very Satisfied,Very Satisfied,N/A,Very Satisfied,Very Satisfied,Very Satisfied,N/A,Very Satisfied,Strongly Agree,Strongly Agree,Strongly Agree,Female,Bisexual
103006,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Prefer Not to Answer,Prefer Not to Answer
104821,,,,,,,,,,,,,
104935,Somewhat Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Agree,Agree,Neither Agree nor Disagree,Female,Heterosexual
105194,Very Satisfied,Very Satisfied,Very Satisfied,Somewhat Satisfied,Very Satisfied,Very Satisfied,Somewhat Satisfied,Very Satisfied,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Female,Heterosexual
105767,,,,,,,,,,,,,
105797,Somewhat Satisfied,Somewhat Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Somewhat Satisfied,N/A,Very Satisfied,Agree,Agree,Disagree,Female,Heterosexual
105971,Somewhat Dissatisfied,Very Dissatisfied,Very Dissatisfied,Somewhat Dissatisfied,Very Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,Very Dissatisfied,,,,,
106277,Very Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,Very Satisfied,Very Satisfied,N/A,N/A,Somewhat Dissatisfied,Agree,Disagree,Neither Agree nor Disagree,Female,Heterosexual
106519,Somewhat Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Agree,Neither Agree nor Disagree,Agree,Male,Heterosexual
106962,Very Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Very Satisfied,Somewhat Satisfied,Somewhat Satisfied,N/A,Neither Dissatisfied nor Satisfied,Strongly Agree,Disagree,Agree,Prefer Not to Answer,Prefer Not to Answer
106968,Very Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,Somewhat Dissatisfied,Very Satisfied,Very Satisfied,Disagree,Neither Agree nor Disagree,Disagree,Female,Heterosexual
110200,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Very Dissatisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Dissatisfied,Disagree,Disagree,Strongly Agree,Female,Heterosexual
112369,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Strongly Agree,Female,Heterosexual
116420,Somewhat Dissatisfied,Somewhat Dissatisfied,N/A,Neither Dissatisfied nor Satisfied,Very Satisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Very Satisfied,Agree,Neither Agree nor Disagree,Strongly Disagree,Female,Heterosexual
116578,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Somewhat Satisfied,Agree,Neither Agree nor Disagree,Agree,Female,Heterosexual
119208,Very Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Dissatisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Disagree,Disagree,Agree,Female,Heterosexual
120434,Very Satisfied,Very Satisfied,Somewhat Satisfied,Somewhat Satisfied,Very Satisfied,N/A,N/A,Neither Dissatisfied nor Satisfied,Agree,Neither Agree nor Disagree,Agree,Female,Heterosexual
121899,,,,,,,,,,,,,
122286,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Very Dissatisfied,Somewhat Dissatisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Prefer Not to Answer,Prefer Not to Answer
122926,Somewhat Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Somewhat Satisfied,Somewhat Dissatisfied,Very Dissatisfied,Very Dissatisfied,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Female,Heterosexual
123893,Neither Dissatisfied nor Satisfied,Very Dissatisfied,Neither Dissatisfied nor Satisfied,Very Dissatisfied,Very Dissatisfied,N/A,N/A,N/A,Strongly Disagree,Disagree,Strongly Disagree,Female,Heterosexual
127961,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Very Dissatisfied,Somewhat Dissatisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Disagree,Disagree,Agree,Female,Heterosexual
128709,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Agree,Disagree,Neither Agree nor Disagree,Female,Heterosexual
128890,Somewhat Dissatisfied,Somewhat Dissatisfied,Very Dissatisfied,Very Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,N/A,Somewhat Satisfied,Disagree,Disagree,Neither Agree nor Disagree,Female,Prefer Not to Answer
129823,Somewhat Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Very Dissatisfied,Very Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Female,Heterosexual
130934,Somewhat Satisfied,Very Satisfied,N/A,Very Satisfied,Very Satisfied,Very Satisfied,N/A,N/A,Strongly Agree,Disagree,Strongly Agree,Male,Gay/Lesbian
131142,Very Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Non-binary,Other
131497,Very Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Agree,Neither Agree nor Disagree,Agree,Female,Heterosexual
131900,Neither Dissatisfied nor Satisfied,Very Dissatisfied,Neither Dissatisfied nor Satisfied,Very Dissatisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Very Dissatisfied,Strongly Disagree,Strongly Disagree,Disagree,Female,Heterosexual
132259,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Very Dissatisfied,Somewhat Dissatisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Disagree,Neither Agree nor Disagree,Disagree,Non-binary,Other
132825,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Very Dissatisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Dissatisfied,Neither Agree nor Disagree,Disagree,Agree,Female,Heterosexual
133547,Somewhat Satisfied,Somewhat Dissatisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Neither Dissatisfied nor Satisfied,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Male,Heterosexual
